compound_id,base_rdkit_smiles,relation,activity_value
gvk_122347030,O=c1[nH]c(C2=C[C@@H](N3CCC(c4ccc(Cl)cc4)CC3)CC2)nc2c1CC1(CC2)CC1,,6.300162274132754
CHEMBL3649775,COc1cc(CN(C)C)cc2[nH]c(=O)c3c(c12)NCCC3,,7.096910013008056
gvk_15341568,O=c1[nH]nc(N2CCN(CCCC(c3ccc(F)cc3)c3ccc(F)cc3)CC2)c2ccccc12,,6.405
gvk_123426033,N#Cc1ccc(N2CCN(Cc3cc(F)c4c5c(c(=O)[nH]c4c3)CCCN5)CC2)s1,,8.297569463554474
gvk_13151350,CCN(CC)CCc1c[nH]c2ccc3c(c12)CCNC3=O,,6.886056647693163
gvk_122700335,CCOc1ccc(CC(=O)Nc2nncc3ccccc23)cc1,,5.522878745280337
Otava_792528,COc1ccccc1-c1cc(=O)c2cc(NS(=O)(=O)c3ccc(F)cc3)ccc2o1,<,3.4001169279263124
gvk_15065201,COc1ccccc1NC(=S)N1CCN(C(=O)c2cccc(Cc3n[nH]c(=O)c4ccccc34)c2)CC1,>,8.0
gvk_123764474,COC(=O)Nc1nc2cc(-c3cc(Cc4n[nH]c(=O)c5ccccc45)ccc3C(F)(F)F)ccc2[nH]1,,7.71669877129645
CHEMBL3593804,CC(=O)Nc1ccccc1COc1ccc(-c2ccc(-c3nc4c(C(=O)O)cc(C)cc4[nH]3)cc2)cc1,,4.973466735476703
gvk_15341854,Cc1ccc(-c2ccc(OC(=S)c3ccc(O)cc3)c(O)c2)cc1,>,4.698970004336019
Otava_1084157,CC(C)CCN(CCC(C)C)C(=O)Cc1c(O)nc2ccccc2c1O,<,3.4001169279263124
gvk_123168802,O=c1[nH]c(=O)n(C2CCN(C[C@@H](O)[C@H]3CCc4ccccc4O3)CC2)c2ccccc12,,6.053
gvk_15339004,Cc1cc2ccc(C(C)(C#N)Cc3cccc(C#N)c3)cc2[nH]c1=O,,6.1
gvk_15339039,Cc1cc2ccc(C(C)(C#N)Cc3noc(-c4cccc(C(F)(F)F)c4)n3)cc2[nH]c1=O,,5.4
gvk_121336196,N#Cc1c2cccc(C(N)=O)c2nn1C1CCNCC1,>,6.0
gvk_15339302,CCc1cc2ccc(C(C)(C#N)Cc3nc4ccccc4n3C)cc2[nH]c1=O,,6.7
CHEMBL425560,CCCC(=O)Nc1cccc(Cc2n[nH]c(=O)c3ccccc23)c1,,7.045757586924233
CHEMBL3649736,COCn1c(=O)c2c(c3cc(CCN(C)C)ccc31)NCCC2,,5.97061622231479
gvk_15325509,N[C@@H]1CCN2c3c(cccc31)C(=O)N[C@@H]2c1ccsc1,,6.0
gvk_125382781,Cc1cnc(N2CCN(Cc3ccc4c5c(c(=O)[nH]c4c3)CCCC5)CC2)n1C,,8.067
gvk_125528573,CNC(=O)c1ccc(N2CCN(Cc3ccc4nc(C(C)C)c(=O)[nH]c4c3F)CC2)c(C)n1,,7.070581074285707
gvk_123426012,O=c1[nH]c2cc(CN3C[C@@H]4C[C@H]3CN4c3ccc([N+](=O)[O-])cc3F)ccc2c2c1CCCN2,,7.990549104201306
gvk_15325420,COc1ccc([C@@H]2NC(=O)c3cc(OC(F)(F)F)cc4c3N2CC[C@H]4N)cc1,,6.0
gvk_15351105,O=C1C=N[NH+](Cc2ccc(F)c(C(=O)N3CCn4c(nnc4CC(F)(F)F)C3)c2)c2ccccc21,>,5.301029995663981
gvk_13151342,NCCc1c[nH]c2ccc3c(c12)CCNC3=O,,7.397940008672037
CHEMBL108623,O=C(CCn1c2c(c(=O)[nH]c1=O)CSCC2)NCC(=O)N1CCN(c2cc(C(F)(F)F)ccn2)CC1,,7.698970004336019
gvk_364787,O=c1[nH]c(CCCN2CC=C(c3ccc(-c4ccccc4)cc3)CC2)nc2ccccc12,,7.468521082957745
gvk_121258720,CC1Oc2cc(F)c(CN3CCN(c4ccc(C(=O)NC5CC5)cc4)CC3)cc2NC1=O,,7.1
